"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY","BILL_AMT","PAY_AMT","DEFAULT","UTILIZATION"
"218",50000,1,2,2,29,0,49276,1602,0,0.98552
"219",80000,2,1,2,37,-1,10115,258,0,0.1264375
"220",150000,2,2,1,25,-1,6156,0,0,0.04104
"221",10000,1,3,2,23,0,6974,1134,0,0.6974
"222",130000,2,3,2,49,0,89003,4100,1,0.684638461538462
"223",40000,2,1,2,48,0,34871,1600,0,0.871775
"224",50000,1,2,2,27,3,13694,1700,1,0.27388
"225",1e+05,1,3,2,32,0,70003,2035,0,0.70003
"226",120000,1,1,1,34,-1,1082,0,0,0.00901666666666667
"227",260000,2,1,2,58,1,0,0,1,0
"228",2e+05,2,2,2,33,0,11253,2000,0,0.056265
"229",360000,2,2,2,28,-2,0,0,1,0
"230",70000,2,2,2,36,0,68699,4483,0,0.981414285714286
"231",50000,2,1,2,26,-1,1156,316,0,0.02312
"232",50000,1,3,1,33,0,50859,2007,0,1.01718
"233",250000,2,2,1,31,0,103109,4000,0,0.412436
"234",30000,2,1,2,27,0,1512,1000,0,0.0504
"235",270000,1,2,1,44,0,127543,10063,0,0.472381481481481
"236",180000,2,3,2,30,0,163935,7722,0,0.91075
"237",1e+05,2,1,2,28,0,53494,4173,0,0.53494
"238",230000,2,3,1,32,0,195126,5000,0,0.848373913043478
"239",210000,2,1,1,46,-1,110346,41986,0,0.525457142857143
"240",210000,1,1,2,38,2,60502,3276,0,0.288104761904762
"241",440000,2,2,1,46,0,180641,8610,0,0.410547727272727
"242",1e+05,2,2,2,25,2,70896,3472,1,0.70896
"243",240000,2,2,1,46,0,8751,1295,0,0.0364625
"244",280000,1,1,2,33,-1,898,898,1,0.00320714285714286
"245",50000,2,2,2,22,1,0,0,1,0
"246",30000,1,2,1,43,3,1700,1100,0,0.0566666666666667
"247",10000,1,2,2,27,0,7015,3507,1,0.7015
"248",130000,1,1,2,29,1,0,0,0,0
"249",2e+05,1,1,2,31,0,194353,9000,0,0.971765
"250",120000,2,2,1,29,-1,1686,657,0,0.01405
"251",210000,2,2,1,36,0,143225,6483,0,0.682023809523809
"252",280000,2,1,1,36,0,58983,2755,0,0.210653571428571
"253",3e+05,1,1,2,34,1,0,0,1,0
"254",1e+05,1,2,2,37,0,99209,3490,0,0.99209
"255",440000,2,1,2,36,-2,0,0,0,0
"256",50000,2,3,1,40,0,49941,2400,0,0.99882
"257",20000,2,1,2,25,0,11968,2800,1,0.5984
"258",2e+05,2,1,2,27,-1,871,665,0,0.004355
"259",30000,1,3,1,55,2,9720,1200,1,0.324
"260",60000,2,1,2,27,-1,20847,13809,0,0.34745
"261",4e+05,2,2,1,38,-1,3697,1000,0,0.0092425
"262",180000,2,2,1,34,0,143301,7000,0,0.796116666666667
"263",20000,1,1,2,40,0,10934,3000,0,0.5467
"264",2e+05,2,3,1,49,-1,52439,0,1,0.262195
"265",1e+05,1,1,2,27,0,55734,1631,0,0.55734
"266",60000,1,2,2,23,0,49507,1970,1,0.825116666666667
"267",110000,2,2,2,36,0,47819,2200,0,0.434718181818182
"268",50000,2,3,1,46,3,48522,3754,0,0.97044
"269",110000,1,2,2,29,1,58362,2500,1,0.530563636363636
"270",340000,2,1,2,27,0,172180,21105,0,0.506411764705882
"271",50000,1,2,2,24,-1,1399,1070,0,0.02798
"272",230000,2,2,1,28,0,26361,1710,1,0.114613043478261
"273",360000,2,2,2,32,0,93029,10000,0,0.258413888888889
"274",210000,1,2,2,43,1,0,0,0,0
"275",220000,2,2,1,41,-1,650,325,1,0.00295454545454545
"276",60000,2,2,1,34,2,24898,3800,1,0.414966666666667
"277",340000,1,2,1,55,-2,50396,44665,0,0.148223529411765
"278",150000,1,1,1,40,2,99855,5200,0,0.6657
"279",130000,2,2,2,40,0,9559,3000,1,0.0735307692307692
"280",60000,2,1,2,28,1,10540,0,0,0.175666666666667
"281",4e+05,2,2,1,43,1,0,0,0,0
"282",20000,1,1,2,27,0,20571,1323,0,1.02855
"283",190000,2,1,2,28,0,143464,5795,0,0.755073684210526
"284",260000,2,1,2,30,0,156882,10000,0,0.603392307692308
"285",140000,2,2,2,31,-2,390,0,0,0.00278571428571429
"286",50000,2,2,1,31,0,46512,1974,1,0.93024
"287",240000,2,2,2,30,-2,92,92,0,0.000383333333333333
"288",50000,1,2,2,36,0,5916,1212,0,0.11832
"289",2e+05,2,1,2,29,-1,2393,0,0,0.011965
"290",180000,1,1,1,39,0,274731,11000,0,1.52628333333333
"291",180000,2,1,2,26,0,145403,5440,0,0.807794444444444
"292",160000,2,1,2,29,-1,3097,0,0,0.01935625
"293",50000,2,2,2,29,0,47081,3000,1,0.94162
"294",140000,2,2,2,31,0,138119,6600,0,0.986564285714286
"295",30000,2,2,2,26,0,17893,1411,1,0.596433333333333
"296",90000,1,1,2,26,0,39128,1541,0,0.434755555555556
"297",380000,1,1,2,30,1,0,0,1,0
"298",80000,2,2,2,43,0,77057,3177,0,0.9632125
"299",50000,1,3,1,58,2,15899,3400,0,0.31798
"300",180000,1,2,1,45,-1,27679,1481,1,0.153772222222222
"301",240000,2,2,2,26,0,141315,6349,0,0.5888125
"302",380000,1,2,2,34,0,194314,9010,0,0.511352631578947
"303",110000,2,4,2,24,0,83755,3000,0,0.761409090909091
"304",260000,1,1,1,34,-1,49657,291,0,0.190988461538462
"305",320000,2,2,2,30,0,71305,2589,0,0.222828125
"306",50000,1,2,2,32,4,45734,0,0,0.91468
"307",110000,1,1,1,40,1,0,0,1,0
"308",230000,2,1,2,35,-2,761,300,0,0.00330869565217391
"309",10000,1,2,2,24,-1,2887,0,0,0.2887
"310",3e+05,1,1,1,40,1,0,0,0,0
"311",20000,2,2,1,32,3,20631,0,1,1.03155
"312",180000,1,2,1,36,2,83538,0,1,0.4641
"313",90000,2,1,2,34,0,34302,1640,0,0.381133333333333
"314",30000,1,3,3,54,0,22987,2500,0,0.766233333333333
"315",180000,1,1,1,46,0,173267,8100,0,0.962594444444444
"316",30000,1,3,1,58,0,19143,1640,0,0.6381
"317",30000,1,2,1,43,1,20518,0,0,0.683933333333333
"318",210000,1,1,2,30,0,69937,3500,0,0.333033333333333
"319",50000,1,2,2,31,0,20526,2000,1,0.41052
"320",130000,2,2,2,29,0,89055,4200,0,0.685038461538461
"321",50000,2,2,1,37,2,1894,1500,1,0.03788
"322",140000,1,3,1,36,0,100594,3000,0,0.718528571428571
"323",170000,2,2,2,28,-1,2948,1105,1,0.0173411764705882
"324",80000,1,2,2,25,0,22619,10010,0,0.2827375
"325",150000,1,2,1,43,0,153249,7900,0,1.02166
"326",260000,1,1,1,30,-1,1131,291,1,0.00435
"327",350000,1,1,1,38,1,0,0,0,0
"328",310000,1,2,1,44,0,103797,4400,0,0.334829032258065
"329",140000,2,2,2,29,0,20110,3000,0,0.143642857142857
"330",360000,1,1,1,51,-1,38000,25000,0,0.105555555555556
"331",140000,2,1,2,27,0,142428,10000,0,1.01734285714286
"332",1e+05,1,1,2,38,0,40810,2502,0,0.4081
"333",50000,2,2,2,22,-2,0,0,0,0
"334",210000,2,2,1,30,0,104701,4002,0,0.49857619047619
"335",120000,2,2,2,25,2,120298,4007,0,1.00248333333333
"336",240000,1,1,2,29,0,156362,5233,0,0.651508333333333
"337",60000,2,3,3,42,0,41322,1488,0,0.6887
"338",30000,1,2,1,48,0,27879,1774,0,0.9293
"339",160000,2,1,2,29,2,160432,7500,1,1.0027
"340",2e+05,1,1,1,52,-2,3858,2690,0,0.01929
"341",120000,2,2,1,25,0,26476,6000,0,0.220633333333333
"342",320000,2,1,2,27,0,55607,11404,0,0.173771875
"343",280000,1,1,2,31,0,168382,10000,0,0.601364285714286
"344",60000,2,1,2,23,1,29332,0,1,0.488866666666667
"345",2e+05,2,1,1,38,-1,190,0,0,0.00095
"346",230000,2,1,1,32,1,0,0,0,0
"347",230000,2,2,2,27,1,13668,0,1,0.0594260869565217
"348",50000,2,3,1,35,-1,22500,5000,0,0.45
"349",50000,2,1,2,30,0,14811,2000,0,0.29622
"350",50000,1,2,1,48,0,44338,3629,0,0.88676
"351",260000,2,1,2,36,1,0,0,1,0
"352",30000,1,1,2,24,2,25265,1500,0,0.842166666666667
"353",440000,2,1,2,29,0,169661,8071,0,0.385593181818182
"354",230000,2,2,2,38,-1,10237,2795,0,0.0445086956521739
"355",2e+05,1,2,1,38,2,104978,4500,1,0.52489
"356",490000,2,2,1,30,0,192586,10000,0,0.393032653061224
"357",80000,2,2,1,32,-1,11262,0,0,0.140775
"358",20000,2,3,2,49,2,9551,3000,1,0.47755
"359",170000,2,1,2,31,-1,199,199,1,0.00117058823529412
"360",70000,1,1,2,27,0,70119,3600,0,1.0017
"361",210000,2,2,2,33,0,212601,6000,0,1.01238571428571
"362",90000,2,2,2,25,0,91894,3200,0,1.02104444444444
"363",390000,2,1,2,27,0,304867,13007,1,0.781710256410256
"364",110000,2,1,2,29,0,48123,2500,0,0.437481818181818
"365",580000,2,1,1,36,0,159760,6422,0,0.275448275862069
"366",360000,1,3,1,55,0,9210,6015,0,0.0255833333333333
"367",270000,2,2,1,32,1,234752,10000,1,0.869451851851852
"368",60000,2,1,2,27,-1,14072,0,0,0.234533333333333
"369",110000,1,3,1,37,0,61807,2300,0,0.561881818181818
"370",50000,2,1,1,25,0,51044,2500,0,1.02088
"371",80000,2,1,2,23,0,77024,3212,1,0.9628
"372",50000,1,2,2,23,-1,350,350,0,0.007
"373",1e+05,1,1,2,32,0,83831,4000,0,0.83831
"374",30000,2,1,2,26,1,0,0,0,0
"375",2e+05,2,1,2,27,0,122923,5704,0,0.614615
"376",240000,1,1,2,44,0,246135,12026,1,1.0255625
"377",220000,1,2,2,34,0,37304,1600,0,0.169563636363636
"378",160000,2,1,2,28,0,146433,4500,0,0.91520625
"379",180000,2,1,1,53,-1,46122,1260,0,0.256233333333333
"380",2e+05,1,4,1,42,0,38564,5000,0,0.19282
"381",140000,2,3,1,30,0,96304,4505,0,0.687885714285714
"382",380000,1,1,1,51,1,0,0,1,0
"383",6e+05,1,1,1,53,2,467150,0,1,0.778583333333333
"384",260000,1,2,2,37,0,255691,14000,0,0.983426923076923
"385",2e+05,2,1,2,26,0,156786,179,0,0.78393
"386",80000,1,2,2,42,0,78129,2500,0,0.9766125
"387",40000,1,2,2,39,0,40034,2027,0,1.00085
"388",130000,1,3,2,39,1,71034,0,0,0.546415384615385
"389",50000,1,1,2,32,-1,23974,1800,0,0.47948
"390",70000,1,2,1,48,0,50927,2100,1,0.727528571428571
"391",180000,2,2,1,38,0,152510,5657,0,0.847277777777778
"392",170000,2,3,3,56,1,0,0,0,0
"393",230000,1,1,1,59,-1,208459,7536,1,0.90634347826087
"394",220000,1,1,2,38,0,212795,8909,1,0.96725
"395",230000,1,2,2,32,0,28114,1610,0,0.122234782608696
"396",5e+05,1,2,1,38,0,59372,10026,0,0.118744
"397",90000,2,1,1,41,-1,6160,3276,0,0.0684444444444444
"398",390000,2,3,2,35,0,355215,13802,1,0.910807692307692
"399",4e+05,2,2,2,41,0,366193,14020,0,0.9154825
"400",180000,1,2,1,34,-1,2927,2790,0,0.0162611111111111
"401",60000,1,3,1,38,1,29295,1800,0,0.48825
"402",120000,2,2,1,32,-1,4158,2682,0,0.03465
"403",60000,2,2,2,29,0,27199,1900,0,0.453316666666667
"404",50000,1,1,2,44,0,50893,1800,0,1.01786
"405",70000,2,2,1,37,0,66759,2518,0,0.9537
"406",5e+05,2,1,1,38,-1,600,0,0,0.0012
"407",2e+05,1,1,2,31,-2,0,0,0,0
"408",140000,1,2,2,26,0,131367,17000,1,0.938335714285714
"409",70000,2,2,2,28,0,41264,2112,0,0.589485714285714
"410",90000,1,3,1,48,1,77604,1700,0,0.862266666666667
"411",1e+05,2,2,1,43,-1,2491,1709,0,0.02491
"412",190000,1,2,1,31,0,177554,7600,0,0.934494736842105
"413",320000,1,2,1,39,0,93768,3317,0,0.293025
"414",260000,2,1,1,34,-1,16426,6277,0,0.0631769230769231
"415",90000,2,2,2,32,-2,573,157,0,0.00636666666666667
"416",30000,2,2,1,43,2,28703,1300,0,0.956766666666667
"417",260000,1,2,2,30,0,98560,4000,0,0.379076923076923
"418",170000,2,2,2,28,0,28304,4000,0,0.166494117647059
"419",80000,2,1,1,28,0,8574,1203,1,0.107175
"420",2e+05,2,3,2,47,0,203183,7521,0,1.015915
"421",20000,1,2,2,23,0,16440,7403,0,0.822
"422",250000,2,1,1,49,-1,66,0,0,0.000264
"423",20000,1,1,1,38,0,15912,1623,0,0.7956
"424",30000,2,2,1,38,0,20344,2000,0,0.678133333333333
"425",90000,2,2,1,35,1,23132,0,0,0.257022222222222
"426",130000,2,1,1,33,0,19161,2000,1,0.147392307692308
"427",160000,1,1,2,35,-1,396,396,0,0.002475
"428",5e+05,2,2,2,43,-1,3959,0,0,0.007918
"429",180000,2,2,2,28,0,42238,2500,0,0.234655555555556
"430",80000,2,2,1,30,0,21507,1700,0,0.2688375
"431",120000,1,1,2,26,-1,884,0,0,0.00736666666666667
"432",130000,1,2,1,31,-1,1261,1261,0,0.0097
"433",120000,2,2,2,35,-1,240,240,1,0.002
"434",50000,1,2,2,23,2,29509,2000,1,0.59018
"435",20000,2,2,2,23,0,18355,2900,0,0.91775
"436",1e+05,1,3,1,56,0,94265,2385,0,0.94265
"437",70000,1,3,1,32,0,68739,3060,0,0.981985714285714
"438",50000,1,2,1,47,0,13917,3000,0,0.27834
"439",10000,2,2,2,22,1,10250,0,0,1.025
"440",290000,2,1,1,34,0,93844,6000,0,0.3236
"441",30000,2,1,1,31,0,16496,1597,0,0.549866666666667
"442",360000,1,1,2,28,-1,1210,390,1,0.00336111111111111
"443",140000,2,2,1,42,0,111496,6022,1,0.7964
"444",210000,2,1,2,32,0,67374,3200,0,0.320828571428571
"445",20000,1,2,2,27,1,18649,0,0,0.93245
"446",620000,2,2,1,45,2,160837,0,1,0.259414516129032
"447",20000,2,2,2,21,-1,18763,14410,0,0.93815
"448",50000,1,2,2,23,0,34549,2836,0,0.69098
"449",50000,1,2,3,30,0,97538,2454,0,1.95076
"450",10000,1,2,2,46,0,4073,2400,1,0.4073
"451",1e+05,2,3,1,50,2,53849,2050,1,0.53849
"452",440000,2,1,2,35,0,330759,13100,0,0.751725
"453",120000,1,2,1,44,0,92007,5417,0,0.766725
"454",50000,2,1,2,52,0,3257,1000,0,0.06514
"455",110000,2,2,1,40,1,92638,600,0,0.842163636363636
"456",2e+05,2,1,2,38,-1,399,0,0,0.001995
"457",150000,2,1,2,28,1,0,0,0,0
"458",30000,2,2,1,36,2,28778,0,1,0.959266666666667
